Date,Year,Month,HistAvgFlow,adjusted_historical
1931-09-01,1931,9,2.6700000762939453,2.865260565125502
1931-10-01,1931,10,3.890000104904175,3.8898485161698932
1931-11-01,1931,11,3.609999895095825,4.137808119101073
1931-12-01,1931,12,13.239999771118164,28.482985511211027
1932-01-01,1932,1,8.930000305175781,21.412574014515137
1932-02-01,1932,2,7.519999980926514,11.142797118310897
1932-03-01,1932,3,15.100000381469727,15.329907331797253
1932-04-01,1932,4,17.690000534057617,18.969565900535223
1932-05-01,1932,5,21.489999771118164,20.91078959958625
1932-06-01,1932,6,9.800000190734863,9.876419325792018
1932-07-01,1932,7,4.170000076293945,4.349442334947071
1932-08-01,1932,8,3.4800000190734863,3.68243505127138
1932-09-01,1932,9,3.2300000190734863,3.4662140133163812
1932-10-01,1932,10,3.700000047683716,3.69985586302846
1932-11-01,1932,11,2.009999990463257,2.3038765987862098
1932-12-01,1932,12,1.7699999809265137,2.215639026780312
1933-01-01,1933,1,2.4100000858306885,3.4537827621711212
1933-02-01,1933,2,3.009999990463257,4.415793340915321
1933-03-01,1933,3,8.220000267028809,8.390190141442318
1933-04-01,1933,4,11.680000305175781,11.915250022617407
1933-05-01,1933,5,13.670000076293945,13.575852942051558
1933-06-01,1933,6,9.25,9.419834927457014
1933-07-01,1933,7,3.7200000286102295,3.880078013049205
1933-08-01,1933,8,4.309999942779541,4.560716888873636
1933-09-01,1933,9,3.180000066757202,3.412557501130487
1933-10-01,1933,10,2.819999933242798,2.819890041158215
1933-11-01,1933,11,1.7899999618530273,2.0517109669194222
1933-12-01,1933,12,8.010000228881836,10.18270022467194
1934-01-01,1934,1,10.829999923706055,17.140954721889514
1934-02-01,1934,2,14.609999656677246,14.67218123882919
1934-03-01,1934,3,12.920000076293945,12.94935035183795
1934-04-01,1934,4,8.59000015258789,8.518461417812011
1934-05-01,1934,5,5.340000152587891,5.419021584602919
1934-06-01,1934,6,3.0799999237060547,3.160848755261471
1934-07-01,1934,7,3.7799999713897705,3.942659856321417
1934-08-01,1934,8,3.7200000286102295,3.936396097989669
1934-09-01,1934,9,3.180000066757202,3.412557501130487
1934-10-01,1934,10,2.819999933242798,2.819890041158215
1934-11-01,1934,11,5.28000020980835,6.051974618248687
1934-12-01,1934,12,4.929999828338623,6.171243016607012
1935-01-01,1935,1,12.109999656677246,17.547773675823652
1935-02-01,1935,2,8.630000114440918,13.068272290877376
1935-03-01,1935,3,14.010000228881836,14.153737413186207
1935-04-01,1935,4,43.25,44.89116558460173
1935-05-01,1935,5,29.219999313354492,28.1691373746382
1935-06-01,1935,6,12.130000114440918,11.67507838289006
1935-07-01,1935,7,4.25,4.432884792643352
1935-08-01,1935,8,4.25,4.497226690265969
1935-09-01,1935,9,4.079999923706055,4.378375488039878
1935-10-01,1935,10,3.6700000762939453,3.669857060702332
1935-11-01,1935,11,2.990000009536743,3.4271597437941237
1935-12-01,1935,12,2.990000009536743,3.742802702029045
1936-01-01,1936,1,30.1200008392334,32.48980982411573
1936-02-01,1936,2,43.130001068115234,44.06683213925097
1936-03-01,1936,3,19.219999313354492,19.288345136293827
1936-04-01,1936,4,21.770000457763672,22.900027857548164
1936-05-01,1936,5,16.040000915527344,15.527962087459795
1936-06-01,1936,6,7.010000228881836,7.183556479385208
1936-07-01,1936,7,4.980000019073486,5.194297965156344
1936-08-01,1936,8,4.889999866485596,5.174455979989658
1936-09-01,1936,9,3.7799999713897705,4.056436159070081
1936-10-01,1936,10,2.8399999141693115,2.8398892427089675
1936-11-01,1936,11,2.0899999141693115,2.3955730928188204
1936-12-01,1936,12,1.3899999856948853,1.7399651122694146
1937-01-01,1937,1,2.3299999237060547,3.339134143467144
1937-02-01,1937,2,9.510000228881836,14.239448489960472
1937-03-01,1937,3,17.469999313354492,17.72119098708557
1937-04-01,1937,4,22.299999237060547,23.429644028599228
1937-05-01,1937,5,28.770000457763672,27.660423038907823
1937-06-01,1937,6,12.989999771118164,12.545374996660124
1937-07-01,1937,7,5.079999923706055,5.298601037276696
1937-08-01,1937,8,4.440000057220459,4.698279238144536
1937-09-01,1937,9,3.5199999809265137,3.7774220398489993
1937-10-01,1937,10,3.5,3.499863609111651
1937-11-01,1937,11,16.059999465942383,19.722518970624098
1937-12-01,1937,12,41.13999938964844,54.46930550116738
1938-01-01,1938,1,12.84000015258789,19.114710246183645
1938-02-01,1938,2,42.119998931884766,43.04199626836546
1938-03-01,1938,3,54.189998626708984,54.70620131563876
1938-04-01,1938,4,33.38999938964844,34.42559668540036
1938-05-01,1938,5,41.41999816894531,41.30817145923408
1938-06-01,1938,6,23.049999237060547,22.687776101017327
1938-07-01,1938,7,6.900000095367432,7.189572124041632
1938-08-01,1938,8,4.53000020980835,4.793514788343659
1938-09-01,1938,9,3.200000047683716,3.4340201060048443
1938-10-01,1938,10,4.380000114440918,4.3798294309818955
1938-11-01,1938,11,4.25,4.871380891193283
1938-12-01,1938,12,4.809999942779541,6.0210303428674905
1939-01-01,1939,1,4.119999885559082,5.904391733656823
1939-02-01,1939,2,3.819999933242798,5.604096452144633
1939-03-01,1939,3,11.279999732971191,11.7818016984553
1939-04-01,1939,4,11.510000228881836,11.646336162650565
1939-05-01,1939,5,6.369999885559082,6.4603998737488695
1939-06-01,1939,6,3.200000047683716,3.2839988370477102
1939-07-01,1939,7,3.4600000381469727,3.6088897768581494
1939-08-01,1939,8,3.140000104904175,3.322657006873647
1939-09-01,1939,9,3.1600000858306885,3.391094896256129
1939-10-01,1939,10,3.3499999046325684,3.349869359071722
1939-11-01,1939,11,1.7899999618530273,2.0517109669194222
1939-12-01,1939,12,4.699999809265137,5.8833350934935424
1940-01-01,1940,1,30.010000228881836,32.496372509194366
1940-02-01,1940,2,54.41999816894531,54.626580228156186
1940-03-01,1940,3,54.45000076293945,54.93281595206562
1940-04-01,1940,4,24.780000686645508,25.73976346687116
1940-05-01,1940,5,11.300000190734863,10.96462798529804
1940-06-01,1940,6,4.809999942779541,4.936260619658849
1940-07-01,1940,7,3.5199999809265137,3.6714716201303608
1940-08-01,1940,8,4.039999961853027,4.275010742851514
1940-09-01,1940,9,3.549999952316284,3.8096159471605358
1940-10-01,1940,10,3.9700000286102295,3.9698453223729016
1940-11-01,1940,11,4.360000133514404,4.997463843765232
1940-12-01,1940,12,29.969999313354492,37.55340478721502
1941-01-01,1941,1,32.54999923706055,33.56833357905314
1941-02-01,1941,2,46.970001220703125,47.92296596875357
1941-03-01,1941,3,34.130001068115234,35.08187204104669
1941-04-01,1941,4,34.939998626708984,36.297729136985005
1941-05-01,1941,5,33.38999938964844,32.92834344776958
1941-06-01,1941,6,14.699999809265137,14.554413982179998
1941-07-01,1941,7,6.389999866485596,6.661352161351063
1941-08-01,1941,8,3.799999952316284,4.0210496961332245
1941-09-01,1941,9,3.6700000762939453,3.938391832261114
1941-10-01,1941,10,3.9100000858306885,3.909847717720645
1941-11-01,1941,11,4.440000057220459,5.089160337797842
1941-12-01,1941,12,41.310001373291016,54.60781318043664
1942-01-01,1942,1,36.0099983215332,36.79343062628493
1942-02-01,1942,2,45.900001525878906,46.84543296804315
1942-03-01,1942,3,13.989999771118164,14.132437183292252
1942-04-01,1942,4,32.45000076293945,32.89288268625825
1942-05-01,1942,5,27.489999771118164,26.081087653973846
1942-06-01,1942,6,17.40999984741211,17.414433696267928
1942-07-01,1942,7,6.449999809265137,6.723521973892916
1942-08-01,1942,8,4.079999923706055,4.317337541923291
1942-09-01,1942,9,3.700000047683716,3.9705857395726505
1942-10-01,1942,10,3.049999952316284,3.0498810974011525
1942-11-01,1942,11,6.019999980926514,6.882649013727822
1942-12-01,1942,12,11.449999809265137,20.01039132845358
1943-01-01,1943,1,35.459999084472656,36.23944360804596
1943-02-01,1943,2,18.260000228881836,18.620394018584484
1943-03-01,1943,3,37.16999816894531,38.34794953032844
1943-04-01,1943,4,24.610000610351562,25.62758575947186
1943-05-01,1943,5,14.460000038146973,14.354728564916673
1943-06-01,1943,6,9.15999984741211,9.330258991893695
1943-07-01,1943,7,4.400000095367432,4.589339649502021
1943-08-01,1943,8,4.269999980926514,4.5183900898018585
1943-09-01,1943,9,3.180000066757202,3.412557501130487
1943-10-01,1943,10,2.759999990463257,2.759892436505959
1943-11-01,1943,11,2.630000114440918,3.0145252473702673
1943-12-01,1943,12,2.950000047683716,3.6927318107825378
1944-01-01,1944,1,3.950000047683716,5.660764144978358
1944-02-01,1944,2,7.880000114440918,11.712225112192058
1944-03-01,1944,3,13.670000076293945,13.792067244900839
1944-04-01,1944,4,13.239999771118164,14.118815862002268
1944-05-01,1944,5,19.610000610351562,19.30948803706526
1944-06-01,1944,6,9.180000305175781,9.350168703876117
1944-07-01,1944,7,4.039999961853027,4.213848092512473
1944-08-01,1944,8,4.099999904632568,4.33850094145918
1944-09-01,1944,9,3.549999952316284,3.8096159471605358
