Date,Year,Month,HistAvgFlow,adjusted_historical
1928-12-01,1928,12,15.380000114440918,23.58814162476927
1929-01-01,1929,1,14.130000114440918,22.04891851573587
1929-02-01,1929,2,25.479999542236328,29.791919155713565
1929-03-01,1929,3,35.90999984741211,38.28754479995045
1929-04-01,1929,4,41.16999816894531,45.77850634979141
1929-05-01,1929,5,50.290000915527344,51.95461836847955
1929-06-01,1929,6,26.690000534057617,27.64442621851935
1929-07-01,1929,7,13.140000343322754,13.766730907071604
1929-08-01,1929,8,6.539999961853027,6.9700840235808705
1929-09-01,1929,9,4.78000020980835,5.110421912618209
1929-10-01,1929,10,8.399999618530273,8.871970287909956
1929-11-01,1929,11,8.539999961853027,9.393850636092006
1929-12-01,1929,12,153.94000244140625,161.4014241100852
1930-01-01,1930,1,55.58000183105469,58.98839342177475
1930-02-01,1930,2,76.36000061035156,82.35602075894873
1930-03-01,1930,3,118.33000183105469,121.93387256672293
1930-04-01,1930,4,126.66000366210938,127.28459835514701
1930-05-01,1930,5,89.3499984741211,90.78678216482422
1930-06-01,1930,6,36.95000076293945,37.92567464876547
1930-07-01,1930,7,15.210000038146973,15.797058268815364
1930-08-01,1930,8,8.609999656677246,9.186589936668033
1930-09-01,1930,9,7.179999828338623,7.560794923198912
1930-10-01,1930,10,6.75,7.201500181145972
1930-11-01,1930,11,10.770000457763672,12.138266228104007
1930-12-01,1930,12,8.670000076293945,9.145531750164057
1931-01-01,1931,1,16.479999542236328,22.40129882973639
1931-02-01,1931,2,17.290000915527344,19.833330088692154
1931-03-01,1931,3,33.4900016784668,35.70684815086968
1931-04-01,1931,4,29.239999771118164,32.803690110109265
1931-05-01,1931,5,19.780000686645508,20.595231034045643
1931-06-01,1931,6,11.729999542236328,12.31069820684606
1931-07-01,1931,7,9.050000190734863,9.599578512063575
1931-08-01,1931,8,5.130000114440918,5.454733523096432
1931-09-01,1931,9,3.180000066757202,3.3864092816179223
1931-10-01,1931,10,9.960000038146973,10.643661710263531
1931-11-01,1931,11,12.449999809265137,14.603051009276975
1931-12-01,1931,12,43.06999969482422,60.599665503717496
1932-01-01,1932,1,39.119998931884766,42.8794064856621
1932-02-01,1932,2,33.900001525878906,36.418957732486234
1932-03-01,1932,3,90.8499984741211,93.2962511181522
1932-04-01,1932,4,108.19999694824219,111.02466075647637
1932-05-01,1932,5,123.11000061035156,123.60477063119627
1932-06-01,1932,6,56.61000061035156,57.441638611151106
1932-07-01,1932,7,17.649999618530273,18.10413195422663
1932-08-01,1932,8,8.600000381469727,9.169160858573555
1932-09-01,1932,9,7.349999904632568,7.824196536268399
1932-10-01,1932,10,8.210000038146973,8.640072834933733
1932-11-01,1932,11,9.8100004196167,10.85777517289682
1932-12-01,1932,12,11.670000076293945,15.17753315526489
1933-01-01,1933,1,23.030000686645508,27.284000707364292
1933-02-01,1933,2,13.710000038146973,15.891767627388731
1933-03-01,1933,3,36.22999954223633,38.6289962125783
1933-04-01,1933,4,52.849998474121094,54.061059227109205
1933-05-01,1933,5,60.119998931884766,62.15767691655804
1933-06-01,1933,6,44.470001220703125,45.3014437267259
1933-07-01,1933,7,15.4399995803833,16.10982690378834
1933-08-01,1933,8,7.239999771118164,7.5795885114693045
1933-09-01,1933,9,4.949999809265137,5.285579203192356
1933-10-01,1933,10,7.519999980926514,7.968210263727598
1933-11-01,1933,11,8.729999542236328,9.804252638699174
1933-12-01,1933,12,27.93000030517578,38.82032798994889
1934-01-01,1934,1,38.02000045776367,42.55504884006408
1934-02-01,1934,2,46.43000030517578,50.54381496872914
1934-03-01,1934,3,56.959999084472656,66.52321784754845
1934-04-01,1934,4,46.40999984741211,48.9672594911081
1934-05-01,1934,5,27.18000030517578,27.922199789215007
1934-06-01,1934,6,15.609999656677246,16.122750382230237
1934-07-01,1934,7,10.779999732971191,11.158217987726024
1934-08-01,1934,8,6.659999847412109,7.059794455732337
1934-09-01,1934,9,4.400000095367432,4.703706300245431
1934-10-01,1934,10,8.960000038146973,9.541089417552659
1934-11-01,1934,11,21.59000015258789,28.676457899571645
1934-12-01,1934,12,23.030000686645508,33.4439719674707
1935-01-01,1935,1,48.720001220703125,53.989483075226936
1935-02-01,1935,2,41.58000183105469,43.88611013256679
1935-03-01,1935,3,59.38999938964844,68.45300418345211
1935-04-01,1935,4,249.61999511718753,261.2432561097081
1935-05-01,1935,5,192.6999969482422,191.51505829114072
1935-06-01,1935,6,75.0199966430664,75.71910450848792
1935-07-01,1935,7,19.209999084472656,19.711151644160974
1935-08-01,1935,8,9.670000076293945,10.140973427059459
1935-09-01,1935,9,8.140000343322754,8.476206772082126
1935-10-01,1935,10,10.979999542236328,11.77254422448454
1935-11-01,1935,11,12.319999694824219,14.152515900813396
1935-12-01,1935,12,16.6200008392334,25.585670818478473
1936-01-01,1936,1,113.94000244140625,123.07173349152364
1936-02-01,1936,2,170.5,178.8909896021089
1936-03-01,1936,3,119.4000015258789,122.35329225494735
1936-04-01,1936,4,143.6300048828125,144.94153645704733
1936-05-01,1936,5,104.91999816894531,105.40449076833218
1936-06-01,1936,6,49.34000015258789,50.46676547849661
1936-07-01,1936,7,17.139999389648438,17.707277022298154
1936-08-01,1936,8,9.479999542236328,9.83783120337204
1936-09-01,1936,9,8.600000381469727,9.078139485471107
1936-10-01,1936,10,9.010000228881836,9.604581510361765
